population,time,deathsByAge,deathsByHunger,deathsByThirst,deathsByHunt,deathsTotal,births,speed,size,hungerDecreaseFactor,thirstDecreaseFactor,staminaDecreaseFactor,staminaIncreaseFactor,gestationDuration,durationBetweenPregnancies,fovRange,growIntoAdultDurationSeconds,expectedAge,maxSpeed,minSpeed,maxSize,minSize,species
150,1,0,0,0,0,0,0,1.199688,1.189343,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
150,2,0,0,0,0,0,0,1.199688,1.189343,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
161,3,0,0,0,0,0,11,1.19583,1.186422,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
169,4,0,0,0,0,0,8,1.198003,1.184912,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
176,5,0,0,0,0,0,7,1.196345,1.189231,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
185,6,0,0,0,0,0,9,1.201698,1.190615,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
201,7,0,0,0,0,0,16,1.197048,1.1946,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
210,8,0,0,0,0,0,9,1.201772,1.189643,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
222,9,0,0,0,0,0,12,1.203286,1.188398,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
235,10,0,0,0,0,0,13,1.19948,1.188828,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
240,11,0,0,0,0,0,5,1.198935,1.191618,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
251,12,0,0,0,0,0,11,1.190406,1.192915,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
259,13,2,0,0,0,2,10,1.19273,1.194076,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
267,14,0,0,0,0,0,8,1.19249,1.200924,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
276,15,0,0,0,0,0,9,1.195248,1.199606,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
283,16,0,0,0,0,0,7,1.190952,1.201339,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
289,17,0,0,0,0,0,6,1.188734,1.19722,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
293,18,0,0,0,0,0,4,1.187795,1.196797,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
296,19,2,0,0,0,2,5,1.182317,1.201117,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
299,20,0,0,0,0,0,3,1.182298,1.202195,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
304,21,1,0,0,0,1,6,1.177029,1.206838,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
307,22,0,0,0,0,0,3,1.174454,1.206199,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
309,23,0,0,0,0,0,2,1.175256,1.205022,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
314,24,0,0,0,0,0,5,1.173854,1.204194,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
319,25,5,0,0,0,5,10,1.167031,1.203777,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
327,26,0,0,0,0,0,8,1.16569,1.203877,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
330,27,0,0,0,0,0,3,1.163134,1.205337,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
346,28,0,0,0,0,0,16,1.159338,1.210244,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
351,29,0,0,0,0,0,5,1.15672,1.212697,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
357,30,1,0,0,0,1,7,1.155102,1.222529,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
362,31,4,0,0,0,4,8,1.155091,1.226426,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
364,32,2,0,0,0,2,5,1.15161,1.22389,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
369,33,0,0,0,0,0,5,1.148099,1.228362,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
370,34,0,0,0,0,0,1,1.148544,1.227946,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
375,35,1,1,1,0,2,5,1.1454,1.231167,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
374,36,1,0,1,0,2,2,1.144415,1.232997,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
366,37,5,4,4,0,9,2,1.140674,1.234779,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
367,38,0,2,2,0,2,3,1.137728,1.236737,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
371,39,0,0,0,0,0,4,1.13596,1.23964,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
380,40,0,3,3,0,3,12,1.13779,1.253724,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
382,41,0,5,5,0,5,7,1.135959,1.25712,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
382,42,0,1,1,0,1,0,1.135959,1.25712,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
379,43,2,1,1,0,3,1,1.134671,1.260425,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
377,44,1,1,2,0,3,0,1.135153,1.26019,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
370,45,1,8,9,0,10,0,1.132192,1.266339,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
361,46,2,3,3,0,5,0,1.130713,1.27007,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
360,47,0,2,2,0,2,0,1.129886,1.270528,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
356,48,0,7,7,0,8,5,1.125901,1.274644,0.33,0.29,4,1,3,3,30,17,750,5,0.1,3,0.1,Deer
0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bear
