population,health,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
