population,health,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
157,101.0409,59.96199,4.900791,96.06359
153,101.3046,60.06063,4.890358,96.29039
151,101.44,60.27287,4.892491,96.39656
144,101.152,60.6098,4.931026,96.01378
144,101.184,60.64656,4.925303,96.01289
139,101.5556,60.69548,4.916914,95.98579
138,101.686,60.82117,4.912033,95.99889
133,101.7355,60.7358,4.90385,95.953
130,101.658,60.81176,4.901435,95.87114
128,101.5906,60.76199,4.915883,95.70219
127,101.5731,60.72176,4.912787,95.80841
129,101.6342,60.71584,4.919007,95.58501
136,101.6472,61.02347,4.931936,95.54211
138,101.5252,60.92417,4.907845,95.66792
137,101.5315,60.99804,4.903118,95.67712
142,101.5566,60.87049,4.902157,95.72044
142,101.5288,60.89001,4.904763,95.76802
136,101.5808,60.8686,4.900899,95.62479
141,101.4589,60.98182,4.896579,95.63363
145,101.3738,60.86111,4.88687,95.80833
147,101.4544,60.91848,4.892377,95.73603
153,101.3932,61.04023,4.892607,95.70507
154,101.3711,60.9569,4.897578,95.68491
156,101.2489,60.98135,4.900223,95.65405
153,101.3193,61.07433,4.923385,95.49632
153,101.3221,61.17323,4.91435,95.71482
152,101.3788,61.13422,4.909833,95.90469
156,101.4475,61.0093,4.905453,95.77383
157,101.4667,61.1987,4.89422,95.66328
159,101.0768,61.27781,4.900633,95.64307
153,100.9203,61.18274,4.894339,95.5989
152,100.8286,61.13244,4.895715,95.44643
147,100.9874,61.11558,4.897622,95.46041
142,100.8891,61.20163,4.904598,95.40739
131,100.9146,61.09588,4.887164,95.42934
130,100.533,61.1981,4.895784,95.07301
129,100.4851,61.13411,4.908503,95.12962
132,100.6386,61.01037,4.898408,94.94447
134,100.6474,61.06203,4.900945,94.89129
132,100.5694,61.03034,4.876117,95.01622
133,100.5214,61.02901,4.876763,94.98911
137,100.3891,61.03936,4.872299,95.04299
138,100.4855,61.16311,4.874915,94.91919
140,100.5833,61.14227,4.861694,94.9077
137,100.715,61.22981,4.867395,94.8203
143,100.8056,61.40636,4.860289,94.61562
149,100.8889,61.43394,4.851929,94.563
154,100.8037,61.42017,4.850526,94.53574
154,100.66,61.45199,4.854703,94.4255
