population,speed,health,hunger,thirst,stamina,fovRange,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
47,2.517228,90.32822,62.87558,61.02887,5.215596,22.98789,111.9013,4.438929,112.0545
41,2.607937,89.18425,63.19001,59.87184,5.042322,23.43379,110.5249,4.431381,113.7413
42,2.56889,89.32613,63.18733,60.82606,5.012531,23.252,109.4167,4.474818,112.5853
41,2.567329,90.34221,62.93864,60.80124,4.980844,22.86431,111.0644,4.50789,109.1604
37,2.449407,92.84946,63.34562,61.21033,4.981676,22.16982,114.0156,4.717948,102.86
39,2.468135,93.80237,61.44662,63.1674,5.071206,21.56311,118.6095,4.539115,100.1959
37,2.471641,93.32409,61.87655,63.55394,5.028154,21.59324,120.0951,4.426052,97.40976
35,2.388245,96.50993,62.03936,64.74615,5.082864,21.66418,121.9298,4.492556,96.93215
34,2.356671,98.22303,62.33565,67.11227,4.824592,22.28792,118.3273,4.750099,103.1536
32,2.379611,96.99253,62.75399,67.71973,4.852616,22.60663,115.0244,4.827412,104.706
28,2.276073,103.4665,61.87426,66.94472,4.875162,22.82282,114.2927,4.739599,107.7424
26,2.312417,101.7919,62.90423,66.13795,4.760579,22.61099,115.5458,4.745062,111.8044
24,2.265083,106.3989,62.34007,66.38171,4.71097,22.66208,119.6004,4.86616,114.1359
22,2.33309,110.8555,58.69973,70.66528,4.841102,22.79806,106.8294,4.738713,119.0284
21,2.333027,113.6482,58.42045,72.38255,4.668348,23.23434,111.0103,4.631833,120.2569
20,2.332334,114.8564,56.80315,72.29628,4.682163,23.60602,111.4588,4.740691,121.2839
19,2.317446,111.3563,58.56327,70.29087,4.716691,23.70071,115.3478,4.809967,120.3594
17,2.390442,116.5063,55.39328,72.17848,4.676643,24.0427,117.6161,4.813885,118.4648
19,2.658685,109.9405,52.0488,75.37335,5.502926,23.8284,116.3951,4.340174,122.2387
18,2.713215,108.9189,52.99099,74.8111,5.732968,23.87065,117.5862,4.025739,113.1427
17,2.748667,111.2839,53.35892,76.99937,5.836129,23.01295,115.1481,4.139243,108.6775
15,2.734904,115.7476,47.47784,76.69643,5.635111,23.66803,113.1962,4.354599,112.7972
16,2.833899,118.8793,51.00301,79.76185,5.261755,24.30206,123.4078,4.263522,110.4418
14,2.628578,129.7106,53.45731,79.9162,5.010415,25.44271,127.0446,4.306211,111.4261
13,2.732162,128.4399,52.65114,80.87376,5.22358,25.55804,128.4234,4.084422,103.399
12,2.719217,119.5473,53.90272,78.94506,5.177746,26.90304,130.3505,4.152866,104.1452
11,2.711591,117.2539,54.85024,80.00073,5.069637,27.22207,130.3795,3.975591,98.0674
10,2.753603,113.7582,54.57691,80.27231,5.286861,27.1439,127.4727,3.827409,100.3197
8,2.77822,107.6411,52.93692,78.72822,5.646842,25.33981,129.8376,3.739816,101.1507
8,2.77822,107.6411,52.93692,78.72822,5.646842,25.33981,129.8376,3.739816,101.1507
5,2.866161,105.8119,58.51601,81.84017,6.419029,26.72813,135.622,3.002014,119.6213
3,3.299675,67.87189,50.50503,78.04766,8.699793,24.58319,144.8023,2.402519,141.7673
2,3.643309,61.83953,48.50344,88.31683,10.46346,25.57868,161.6525,1.302354,123.708
2,3.643309,61.83953,48.50344,88.31683,10.46346,25.57868,161.6525,1.302354,123.708
1,2.286618,107.4245,28.24956,79.83528,9.975168,27.70257,102.5231,1.394308,141.7296
